Py(10px),Py(10px) 2,Py(10px) 3,Py(10px) 4,Py(10px) 5,Py(10px) 7
24 de sep. de 2021,"14,961.61","15,067.56","14,946.57","15,047.70","3,972,140,000"
23 de sep. de 2021,"14,960.00","15,085.44","14,932.51","15,052.24","4,176,520,000"
22 de sep. de 2021,"14,800.59","14,950.12","14,767.01","14,896.85","4,229,870,000"
21 de sep. de 2021,"14,803.36","14,847.03","14,696.47","14,746.40","4,056,340,000"
20 de sep. de 2021,"14,758.14","14,841.82","14,530.07","14,713.90","4,860,630,000"
17 de sep. de 2021,"15,163.36","15,166.56","14,998.73","15,043.97","6,682,650,000"
16 de sep. de 2021,"15,120.09","15,205.50","15,047.14","15,181.92","3,681,700,000"
15 de sep. de 2021,"15,071.34","15,174.38","14,984.68","15,161.53","4,446,270,000"
14 de sep. de 2021,"15,168.45","15,181.19","15,008.30","15,037.76","4,571,950,000"
13 de sep. de 2021,"15,211.43","15,215.44","15,030.85","15,105.58","4,701,190,000"
10 de sep. de 2021,"15,332.92","15,349.47","15,111.31","15,115.49","4,567,980,000"
09 de sep. de 2021,"15,296.06","15,352.38","15,245.17","15,248.25","3,997,250,000"
08 de sep. de 2021,"15,360.35","15,360.35","15,206.61","15,286.64","4,113,530,000"
07 de sep. de 2021,"15,375.98","15,403.44","15,343.28","15,374.33","3,967,040,000"
03 de sep. de 2021,"15,313.41","15,375.56","15,283.67","15,363.52","3,692,170,000"
02 de sep. de 2021,"15,358.47","15,380.07","15,285.35","15,331.18","4,018,120,000"
01 de sep. de 2021,"15,308.98","15,379.50","15,302.11","15,309.38","4,248,030,000"
31 de ago. de 2021,"15,262.88","15,278.96","15,202.67","15,259.24","4,170,170,000"
30 de ago. de 2021,"15,165.94","15,288.08","15,165.12","15,265.89","4,034,110,000"
27 de ago. de 2021,"14,969.77","15,144.48","14,966.52","15,129.50","4,006,310,000"
26 de ago. de 2021,"15,025.17","15,059.63","14,939.56","14,945.81","3,610,970,000"
25 de ago. de 2021,"15,039.03","15,059.43","15,011.58","15,041.86","3,629,990,000"
24 de ago. de 2021,"14,978.14","15,034.89","14,965.54","15,019.80","3,792,870,000"
23 de ago. de 2021,"14,776.98","14,963.47","14,776.98","14,942.65","3,893,990,000"
20 de ago. de 2021,"14,571.53","14,722.16","14,571.53","14,714.66","3,864,780,000"
19 de ago. de 2021,"14,423.16","14,610.76","14,423.16","14,541.79","4,172,870,000"
18 de ago. de 2021,"14,636.24","14,697.25","14,516.30","14,525.91","3,814,120,000"
17 de ago. de 2021,"14,670.56","14,716.95","14,550.88","14,656.18","4,151,190,000"
16 de ago. de 2021,"14,771.53","14,794.68","14,610.02","14,793.76","3,953,840,000"
13 de ago. de 2021,"14,825.07","14,850.61","14,797.22","14,822.90","4,038,130,000"
12 de ago. de 2021,"14,751.36","14,824.31","14,698.94","14,816.26","4,020,260,000"
11 de ago. de 2021,"14,834.38","14,842.50","14,692.41","14,765.14","3,980,530,000"
10 de ago. de 2021,"14,887.75","14,894.61","14,754.48","14,788.09","3,978,790,000"
09 de ago. de 2021,"14,855.76","14,883.81","14,802.69","14,860.18","4,095,760,000"
06 de ago. de 2021,"14,864.22","14,890.18","14,788.59","14,835.76","4,159,050,000"
05 de ago. de 2021,"14,794.08","14,896.47","14,776.03","14,895.12","4,087,320,000"
04 de ago. de 2021,"14,747.21","14,812.37","14,734.12","14,780.53","4,319,400,000"
03 de ago. de 2021,"14,713.99","14,762.60","14,584.09","14,761.29","4,117,520,000"
02 de ago. de 2021,"14,758.60","14,770.41","14,665.67","14,681.07","3,738,200,000"
30 de jul. de 2021,"14,615.85","14,728.78","14,615.85","14,672.68","3,628,750,000"
29 de jul. de 2021,"14,771.17","14,833.74","14,761.38","14,778.26","3,904,590,000"
28 de jul. de 2021,"14,715.66","14,798.88","14,645.63","14,762.58","4,235,390,000"
27 de jul. de 2021,"14,807.95","14,811.08","14,503.76","14,660.58","4,300,000,000"
26 de jul. de 2021,"14,821.03","14,863.65","14,790.49","14,840.71","4,409,960,000"
23 de jul. de 2021,"14,753.06","14,846.06","14,698.77","14,836.99","3,959,410,000"
22 de jul. de 2021,"14,652.72","14,694.19","14,617.87","14,684.60","3,574,560,000"
21 de jul. de 2021,"14,508.75","14,633.14","14,498.65","14,631.95","4,075,150,000"
20 de jul. de 2021,"14,330.46","14,555.75","14,271.23","14,498.88","4,618,980,000"
19 de jul. de 2021,"14,235.98","14,313.60","14,178.66","14,274.98","4,507,040,000"
16 de jul. de 2021,"14,597.51","14,623.02","14,413.32","14,427.24","4,048,940,000"
15 de jul. de 2021,"14,635.78","14,650.37","14,451.80","14,543.13","4,493,540,000"
14 de jul. de 2021,"14,780.90","14,790.55","14,632.95","14,644.95","4,461,730,000"
13 de jul. de 2021,"14,715.13","14,803.68","14,660.19","14,677.65","4,553,380,000"
12 de jul. de 2021,"14,743.86","14,761.08","14,672.63","14,733.24","3,864,500,000"
09 de jul. de 2021,"14,578.43","14,710.20","14,552.26","14,701.92","3,809,040,000"
08 de jul. de 2021,"14,409.20","14,610.06","14,371.59","14,559.78","4,550,600,000"
07 de jul. de 2021,"14,753.41","14,755.33","14,580.79","14,665.06","4,582,030,000"
06 de jul. de 2021,"14,661.55","14,687.00","14,529.80","14,663.64","4,464,780,000"
02 de jul. de 2021,"14,582.98","14,649.11","14,555.34","14,639.33","3,731,730,000"
01 de jul. de 2021,"14,493.69","14,533.55","14,439.40","14,522.38","4,371,620,000"
30 de jun. de 2021,"14,509.85","14,526.81","14,478.06","14,503.95","5,264,790,000"
29 de jun. de 2021,"14,509.19","14,535.97","14,471.38","14,528.33","4,842,860,000"
